Sample_ID,Replicate ID,Tensile Strength,Notes for individual reps,Notes for group of 4
SSS045_COT,A,38.8,,All look similar; clean with just a few light brown stains
SSS045_COT,B,30,,
SSS045_COT,C,30.1,,
SSS045_COT,D,32.5,,
SSS046_COT,A,56,Tore near top vice,All look similar; clean with a few brown stains
SSS046_COT,B,53.7,Tore near top vice,
SSS046_COT,C,52.4,,
SSS046_COT,D,58.2,,
SSS047_COT,A,,,
SSS047_COT,B,,,
SSS047_COT,C,,,
SSS047_COT,D,,,
SSS048_COT,A,31.5,Tore near top vice,All have sediment caked on
SSS048_COT,B,19.5,"Tore near bottom and top vice, large dark orange stain",
SSS048_COT,C,28.2,Large dark orange stain,
SSS048_COT,D,24.8,Light orange stain,
